SL. No.,Category,States/U.Ts,Estimated Mid-Year Population (in Lakhs) ,Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Contribution to All-India (P),Kidnapping & Abducting - Incidence (I),Kidnapping & Abducting - Rate (R),Kidnapping & Abducting - Percentage Contribution to All-India (P),Dowry Deaths* - Incidence (I),Dowry Deaths* - Rate (R),Dowry Deaths* - Percentage Contribution to All-India (P),Torture (Cruelty by Husband & His Relatives)* - Incidence (I),Torture (Cruelty by Husband & His Relatives)* - Rate (R),Torture (Cruelty by Husband & His Relatives)* - Percentage Contribution to All-India (P),Molestation* - Incidence (I),Molestation* - Rate (R),Molestation* - Percentage Contribution to All-India (P),Sexual Harassment/Eve-Teasing* - Incidence (I),Sexual Harassment/Eve-Teasing* - Rate (R),Sexual Harassment/Eve-Teasing* - Percentage Contribution to All-India (P),Importing of Girls (Upto 21 Years)* - Incidence (I),Importing of Girls (Upto 21 Years)* - Rate (R),Importing of Girls (Upto 21 Years)* - Percentage Contribution to All-India (P),Sati Prevention Act* - Incidence (I),Sati Prevention Act* - Rate (R),Sati Prevention Act* - Percentage Contribution to All-India (P),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Rate (R),Immoral Traffic (Prevention) Act - Percentage Contribution to All-India (P),Indecent Representation of Women* - Incidence (I),Indecent Representation of Women* - Rate (R) ,Indecent Representation of Women* - Percentage Contribution to All-India (P),Total - Incidence (I),Total- Rate (R),Total - Percentage Contribution to All-India (P)
11,State,Kerala,309.1,266,0.9,1.9,110,0.4,0.8,21,0.1,0.4,787,2.5,2.5,810,2.6,2.8,14,0,0.3,0,0,0,0,0,0,39,0.1,0.5,16,0.1,3,2063,6.7,1.9
12,State,Madhya Pradesh,721.4,3119,4.3,22.7,1028,1.4,7.3,417,0.6,8.2,2640,3.7,8.5,7355,10.2,25.8,765,1.1,16.1,17,0,8.9,0,0,0,16,0,0.2,1,0,0.2,15358,21.3,14.4
13,State,Maharashtra,859.1,1362,1.6,9.9,782,0.9,5.6,471,0.5,9.2,8760,10.2,28.1,3475,4,12.2,808,0.9,17,13,0,6.8,0,0,0,560,0.7,6.6,109,0.1,20.2,16340,19,15.3
14,State,Manipur,20.3,12,0.6,0.1,64,3.2,0.5,0,0,0,0,0,0,24,1.2,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,101,5,0.1
15,State,Meghalaya,19.6,17,0.9,0.1,8,0.4,0.1,0,0,0,0,0,0,14,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,0
16,State,Mizoram,7.9,41,5.2,0.3,0,0,0,0,0,0,0,0,0,59,7.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,12.7,0.1
17,State,Nagaland,13.9,16,1.2,0.1,11,0.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1.9,0
18,State,Orissa,342.7,553,1.6,4,463,1.4,3.3,196,0.6,3.8,554,1.6,1.8,1446,4.2,5.1,109,0.3,2.3,0,0,0,0,0,0,23,0.1,0.3,0,0,0,3344,9.8,3.1
19,State,Punjab,216,96,0.4,0.7,140,0.6,1,130,0.6,2.6,133,0.6,0.4,73,0.3,0.3,8,0,0.2,27,0.1,14.1,0,0,0,5,0,0.1,2,0,0.4,614,2.8,0.6
20,State,Rajasthan,482.1,1036,2.1,7.5,2579,5.3,18.3,369,0.8,7.2,3202,6.6,10.3,2121,4.4,7.4,65,0.1,1.4,4,0,2.1,0,0,0,46,0.1,0.5,0,0,0,9422,19.5,8.8
21,State,Sikkim ,4.7,3,0.6,0,4,0.9,0,0,0,0,0,0,0,37,7.9,0.1,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,45,9.6,0
22,State,Tamil Nadu,582.9,268,0.5,1.9,661,1.1,4.7,94,0.2,1.8,345,0.6,1.1,1212,2.1,4.3,1078,1.8,22.7,4,0,2.1,0,0,0,5110,8.8,60.5,2,0,0.4,8774,15.1,8.2
23,State,Tripura,30.5,75,2.5,0.5,40,1.3,0.3,7,0.2,0.1,57,1.9,0.2,80,2.6,0.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,261,8.6,0.2
24,State,Uttar Pradesh,1501.2,1808,1.2,13.1,2337,1.6,16.6,1850,1.2,36.3,3165,2.1,10.2,2631,1.8,9.2,154,0.1,3.2,3,0,1.6,0,0,0,19,0,0.2,9,0,1.7,11976,8,11.2
25,State,West Bengal ,732.7,787,1.1,5.7,811,1.1,5.8,89,0.1,1.7,3319,4.5,10.7,1314,1.8,4.6,26,0,0.5,12,0,6.3,0,0,0,24,0,0.3,0,0,0,6382,8.7,6
Total (States),State,Total (States),9027.2,13367,1.5,97.2,13694,1.5,97.4,4927,0.5,96.8,31006,3.4,99.6,27913,3.1,98,4527,0.5,95.2,191,0,100,27,0,100,8303,0.9,98.3,532,0.1,98.7,104487,11.6,98.1
26,UT,A & N Islands,3.3,5,1.5,0,4,1.2,0,0,0,0,2,0.6,0,13,3.9,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7.6,0
27,UT,Chandigarh,7.8,5,0.6,0,26,3.3,0.2,1,0.1,0,18,2.3,0.1,10,1.3,0,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,62,7.9,0.1
28,UT,D & N Haveli,1.6,1,0.6,0,5,3.1,0,1,0.6,0,5,3.1,0,5,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10.6,0
29,UT,Daman & Diu,1.1,2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.8,0
30,UT,Delhi,109.7,372,3.4,2.7,330,3,2.3,160,1.5,3.1,95,0.9,0.3,520,4.7,1.8,223,2,4.7,0,0,0,0,0,0,125,1.1,1.5,3,0,0,1828,16.7,1.7
31,UT,Lakshadweep,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,8.8,2,0.2,0,4,0.5,0,3,0.3,0.1,1,0.1,0,14,1.6,0,3,0.3,0.1,0,0,0,0,0,0,19,2.2,0.2,4,0.5,0.7,50,5.7,0
Total (UTs),UT,Total (UTs),132.9,387,2.9,2.8,369,2.8,2.6,165,1.2,3.2,121,0.9,0.4,562,4.2,2,229,1.7,4.8,0,0,0,0,0,0,144,1.1,1.7,7,0.1,1.3,1984,14.9,1.9
Total (All-India),Total (All-India),Total (All-India),9160.1,13754,1.5,100,14063,1.5,100,5092,0.6,100,31127,3.4,100,28475,3.1,100,4756,0.5,100,191,0,100,27,0,100,8447,0.9,100,539,0.1,100,106471,11.6,100
